id,newsgroup
0,sci.med
1,rec.autos
2,rec.motorcycles
3,sci.electronics
4,rec.autos
5,talk.politics.mideast
6,rec.motorcycles
7,comp.sys.ibm.pc.hardware
8,comp.os.ms-windows.misc
9,comp.os.ms-windows.misc
10,comp.os.ms-windows.misc
11,talk.politics.misc
12,comp.sys.mac.hardware
13,rec.sport.baseball
14,sci.crypt
15,sci.space
16,comp.graphics
17,talk.politics.misc
18,comp.sys.ibm.pc.hardware
19,alt.atheism
20,sci.crypt
21,rec.sport.baseball
22,soc.religion.christian
23,rec.sport.hockey
24,rec.sport.baseball
25,comp.windows.x
26,sci.med
27,comp.sys.ibm.pc.hardware
28,sci.crypt
29,alt.atheism
30,comp.graphics
31,comp.os.ms-windows.misc
32,soc.religion.christian
33,talk.religion.misc
34,sci.space
35,rec.sport.baseball
36,rec.motorcycles
37,rec.sport.hockey
38,comp.windows.x
39,talk.politics.guns
40,rec.sport.hockey
41,sci.med
42,comp.os.ms-windows.misc
43,comp.graphics
44,comp.graphics
45,talk.politics.mideast
46,comp.os.ms-windows.misc
47,rec.motorcycles
48,misc.forsale
49,soc.religion.christian
50,alt.atheism
51,talk.politics.guns
52,rec.sport.hockey
53,misc.forsale
54,comp.windows.x
55,rec.sport.baseball
56,talk.politics.misc
57,comp.graphics
58,rec.autos
59,rec.motorcycles
60,talk.politics.misc
61,rec.sport.baseball
62,sci.electronics
63,rec.motorcycles
64,rec.motorcycles
65,rec.sport.baseball
66,misc.forsale
67,sci.electronics
68,alt.atheism
69,alt.atheism
70,sci.space
71,misc.forsale
72,rec.sport.baseball
73,sci.med
74,comp.sys.mac.hardware
75,sci.electronics
76,talk.religion.misc
77,comp.sys.mac.hardware
78,sci.electronics
79,rec.sport.baseball
80,sci.electronics
81,alt.atheism
82,comp.graphics
83,sci.space
84,sci.electronics
85,comp.os.ms-windows.misc
86,rec.motorcycles
87,comp.sys.mac.hardware
88,talk.religion.misc
89,talk.politics.mideast
90,talk.politics.guns
91,comp.graphics
92,comp.sys.ibm.pc.hardware
93,rec.sport.hockey
94,comp.sys.ibm.pc.hardware
95,comp.sys.mac.hardware
96,sci.crypt
97,rec.sport.hockey
98,comp.sys.ibm.pc.hardware
99,rec.motorcycles
100,rec.autos
101,talk.politics.guns
102,soc.religion.christian
103,alt.atheism
104,sci.med
105,sci.space
106,talk.politics.guns
107,soc.religion.christian
108,comp.windows.x
109,rec.sport.hockey
110,comp.sys.ibm.pc.hardware
111,sci.crypt
112,talk.politics.misc
113,sci.crypt
114,rec.motorcycles
115,rec.autos
116,sci.space
117,comp.sys.mac.hardware
118,comp.os.ms-windows.misc
119,comp.os.ms-windows.misc
120,comp.sys.mac.hardware
121,talk.politics.guns
122,talk.religion.misc
123,misc.forsale
124,sci.med
125,rec.autos
126,talk.politics.mideast
127,misc.forsale
128,sci.med
129,alt.atheism
130,talk.politics.guns
131,sci.med
132,soc.religion.christian
133,rec.sport.baseball
134,sci.space
135,rec.sport.baseball
136,comp.windows.x
137,sci.space
138,comp.sys.ibm.pc.hardware
139,comp.os.ms-windows.misc
140,rec.sport.baseball
141,talk.politics.mideast
142,rec.sport.hockey
143,comp.sys.mac.hardware
144,sci.med
145,talk.politics.mideast
146,talk.politics.guns
